Enclosure,Vole ID,Northing,Easting
LD,C01EB77,4378330.233,695585.496
LD,C01EB77,4378335.261,695586.768
LD,C01EB77,4378319.5,695588.064
LD,C01EB77,4378328.982,695586.647
LD,C01EB77,4378334.76,695587.137
LD,C01EB77,4378334.369,695580.878
LD,C01EB77,4378331.973,695584.478
LD,C01EB77,4378309.938,695601.894
LD,C01EB77,4378331.151,695584.552
LD,C01EB6A,4378307.678,695580.497
LD,C01EB6A,4378310.527,695580.678
LD,C01EB6A,4378313.553,695583.066
LD,C01EB6A,4378307.65,695582.041
LD,C01EB6A,4378306.355,695589.311
LD,C01EB6A,4378307.026,695586.409
LD,C01EB6A,4378314.052,695582.76
LD,C01EB6A,4378313.242,695580.025
LD,C01EB6A,4378310.098,695588.094
LD,C01EB6A,4378310.479,695593.067
LD,C01EB6A,4378310.426,695592.512
LD,C01EB6A,4378311.223,695586.105
LD,C01EB6A,4378312.07,695588.844
LD,C01EB6A,4378313.462,695588.343
LD,C01EB6A,4378312.07,695588.51
LD,C01EB6A,4378312.814,695588.711
LD,C01EB6A,4378306.573,695599.556
LD,C01EB6A,4378307.63,695585.297
LD,C01EB6A,4378309.152,695586.196
LD,C01EB6A,4378311.095,695581.519
LD,C01EB5E,4378326.944,695586.792
LD,C01EB5E,4378329.439,695585.623
LD,C01EB5E,4378324.326,695586.571
LD,C01EB5E,4378326.526,695587.888
LD,C01EB5E,4378318.025,695580.492
LD,C01EB5E,4378324.643,695581.803
LD,C01EB5E,4378332.85,695580.553
LD,C01EB5E,4378330.942,695585.704
LD,C01EB5E,4378321.197,695583.65
LD,C01EB5E,4378327.222,695591.078
LD,C01EB5E,4378321.398,695592.158
LD,C01EB5E,4378320.004,695586.661
LD,C01EB48,4378316.844,695595.089
LD,C01EB48,4378319.907,695596.311
LD,C01EB48,4378318.947,695609.967
LD,C01EB48,4378316.459,695599.267
LD,C01EB48,4378325.875,695593.601
LD,C01EB48,4378322.338,695609.586
LD,C01EB48,4378322.056,695592.639
LD,C01EB48,4378318.851,695596.095
LD,C01EB48,4378323.833,695609.383
LD,C01EB48,4378321.508,695597.09
LD,C01EB48,4378309.652,695609.188
LD,C01EB48,4378311.272,695609.1
